,close,high,low,open,volume
2016-09-01,0.05282,0.05282,0.05232,0.05238,288
2016-09-02,0.05332,0.05335,0.05298,0.05328,406
2016-09-06,0.05421,0.05429,0.05352,0.05354,962
2016-09-07,0.05388,0.05418,0.05383,0.05414,549
2016-09-08,0.0532,0.05406,0.05303,0.054,1010
2016-09-09,0.05267,0.05276,0.05242,0.05264,1930
2016-09-12,0.05252,0.05276,0.05178,0.0519,6932
2016-09-13,0.05197,0.05208,0.05161,0.05195,8685
2016-09-14,0.05164,0.05182,0.05143,0.05161,7823
2016-09-15,0.0515,0.05168,0.05122,0.0515,14053
2016-09-16,0.05039,0.0508,0.05015,0.05067,42224
2016-09-19,0.05045,0.05069,0.05031,0.05044,28852
2016-09-20,0.04993,0.05041,0.04981,0.0504,34367
2016-09-21,0.05006,0.05043,0.04978,0.05003,44365
2016-09-22,0.05057,0.05084,0.05037,0.05056,30733
2016-09-23,0.0501,0.05046,0.04997,0.05039,24155
2016-09-26,0.04983,0.05013,0.04975,0.05009,23110
2016-09-27,0.05094,0.05115,0.05032,0.05037,38116
2016-09-28,0.05118,0.05131,0.0507,0.05101,46121
2016-09-29,0.05101,0.05128,0.05052,0.0511,47861
2016-09-30,0.05113,0.05137,0.05097,0.05119,25843
2016-10-03,0.05132,0.05149,0.0512,0.05149,21266
2016-10-04,0.05133,0.05179,0.05126,0.05137,36681
2016-10-05,0.05157,0.05166,0.05133,0.05149,42784
2016-10-06,0.0515,0.05165,0.05144,0.05147,29025
2016-10-07,0.05142,0.05166,0.05123,0.05165,39147
2016-10-10,0.05244,0.05275,0.05239,0.0525,24922
2016-10-11,0.05238,0.05271,0.05224,0.0527,27091
2016-10-12,0.05247,0.0526,0.05222,0.05241,24754
2016-10-13,0.05254,0.05257,0.05201,0.05221,28510
2016-10-14,0.05232,0.05271,0.05214,0.05256,32689
2016-10-17,0.05264,0.05271,0.05252,0.05253,19229
2016-10-18,0.05338,0.05344,0.0531,0.05323,23958
2016-10-19,0.05354,0.05368,0.05335,0.05353,28961
2016-10-20,0.05345,0.05361,0.05332,0.05346,24372
2016-10-21,0.0535,0.05352,0.0531,0.0532,26782
2016-10-24,0.05353,0.05369,0.05341,0.05367,18348
2016-10-25,0.05367,0.05379,0.0536,0.05362,23226
2016-10-26,0.05322,0.0534,0.05306,0.0533,26746
2016-10-27,0.0529,0.05315,0.05268,0.05314,35364
2016-10-28,0.05247,0.0532,0.05207,0.05293,67729
2016-10-31,0.05263,0.05295,0.05243,0.05252,28758
2016-11-01,0.05178,0.05253,0.05164,0.05252,60661
2016-11-02,0.05118,0.05151,0.05109,0.05136,42379
2016-11-03,0.05203,0.05206,0.05145,0.05146,34744
2016-11-04,0.05234,0.05256,0.0518,0.05193,48237
2016-11-07,0.05332,0.05358,0.05322,0.05345,35625
2016-11-08,0.05406,0.05441,0.05334,0.05359,56303
2016-11-09,0.05006,0.05051,0.04937,0.04937,49191
2016-11-10,0.04831,0.04881,0.04795,0.04836,61875
2016-11-11,0.0475,0.0483,0.04677,0.04751,78904
2016-11-14,0.04799,0.04833,0.04745,0.04765,41575
2016-11-15,0.04913,0.04929,0.04868,0.0487,30211
2016-11-16,0.04905,0.04928,0.04884,0.04894,23877
2016-11-17,0.04886,0.04948,0.04866,0.04925,37893
2016-11-18,0.0483,0.04907,0.04818,0.04895,28381
2016-11-21,0.04873,0.04878,0.0485,0.04866,14496
2016-11-22,0.04847,0.04894,0.04829,0.04893,22829
2016-11-23,0.04815,0.04847,0.04799,0.04819,24679
2016-11-25,0.04827,0.04845,0.04822,0.04838,9516
2016-11-28,0.04833,0.04864,0.04826,0.04861,20497
2016-11-29,0.04843,0.04848,0.04825,0.04832,19195
