,close,high,low,open,volume
2017-02-13,5262.75,5260.0,5260.0,5260.0,1
2017-02-15,5314.25,5295.0,5295.0,5295.0,1
2017-02-16,5304.75,5314.25,5314.25,5314.25,0
2017-02-21,5347.75,5350.0,5350.0,5350.0,2
2017-02-24,5347.25,5305.0,5305.0,5305.0,0
2017-03-01,5391.5,5380.0,5380.0,5380.0,1
2017-03-13,5402.75,5390.0,5390.0,5390.0,0
2017-03-15,5422.75,5399.0,5387.25,5387.25,3
2017-03-16,5418.5,5416.5,5416.5,5416.5,5
2017-03-21,5342.5,5416.0,5345.5,5416.0,4
2017-03-22,5370.0,5324.0,5324.0,5324.0,0
2017-03-24,5383.0,5392.0,5383.25,5383.25,2
2017-03-28,5409.0,5424.0,5424.0,5424.0,1
2017-03-29,5441.25,5444.0,5434.5,5434.5,7
2017-03-31,5443.75,5448.25,5448.25,5448.25,1
2017-04-05,5422.5,5485.5,5471.5,5471.5,2
2017-04-06,5429.5,5421.25,5421.25,5421.25,1
2017-04-10,5429.0,5439.0,5436.0,5436.0,2
2017-04-11,5408.75,5392.0,5371.5,5386.0,3
2017-04-12,5379.5,5386.0,5380.0,5380.0,5
2017-04-13,5365.75,5374.0,5368.25,5374.0,2
2017-04-17,5401.5,5395.0,5395.0,5395.0,3
2017-04-18,5395.75,5391.25,5391.25,5391.25,2
2017-04-19,5404.5,5436.75,5436.75,5436.75,1
2017-04-20,5449.25,5440.0,5440.0,5440.0,2
2017-04-21,5448.5,5440.0,5438.0,5438.0,4
2017-04-24,5510.5,5520.0,5508.5,5510.0,5
2017-04-25,5558.0,5558.5,5546.5,5546.5,7
2017-04-26,5546.5,5565.5,5552.75,5565.5,9
2017-04-27,5601.25,5577.75,5565.0,5565.0,15
2017-04-28,5590.75,5595.0,5584.5,5585.75,10
2017-05-01,5641.0,5642.0,5632.0,5632.0,4
2017-05-02,5650.0,5651.5,5631.75,5631.75,5
2017-05-03,5623.25,5640.5,5619.5,5640.5,2
2017-05-04,5636.0,5638.0,5638.0,5638.0,1
2017-05-05,5658.5,5656.25,5628.5,5628.5,13
2017-05-08,5665.75,5662.0,5648.25,5648.25,8
2017-05-09,5686.5,5686.0,5679.5,5684.0,4
2017-05-10,5685.75,5681.0,5678.5,5678.5,3
2017-05-11,5681.0,5681.0,5653.0,5669.75,9
