Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2016-07-27,1135.5,,,,,0.0,0.0,0.0
2016-07-28,1146.2,,,,,10.7,0.0,0.0
2016-07-29,1158.1,,,,,11.9,0.0,0.0
2016-08-01,1170.8,,,,,12.7,0.0,0.0
2016-08-02,1179.7,,,,,8.9,0.0,0.0
2016-08-03,1177.0,,,,,2.7,0.0,0.0
2016-08-04,1172.5,,,,,4.5,0.0,0.0
2016-08-05,1159.2,,,,,13.3,0.0,0.0
2016-08-08,1163.1,,,,,3.9,0.0,0.0
2016-08-09,1167.6,,,,,4.5,0.0,0.0
2016-08-10,1191.0,,,,,23.4,0.0,0.0
2016-08-11,1164.7,,,,,26.3,0.0,0.0
2016-08-12,1137.5,,,,,27.2,0.0,0.0
2016-08-15,1124.5,,,,,13.0,0.0,0.0
2016-08-16,1132.4,,,,,7.9,0.0,0.0
2016-08-17,1122.6,,,,,9.8,0.0,0.0
2016-08-18,1141.3,,,,,18.7,0.0,0.0
2016-08-19,1126.9,,,,,14.4,0.0,0.0
2016-08-22,1116.8,,,,,10.1,0.0,0.0
2016-08-23,1120.0,,,,,3.2,0.0,0.0
2016-08-24,1091.1,,,,,28.9,0.0,0.0
2016-08-25,1086.2,,,,,4.9,0.0,0.0
2016-08-26,1086.9,,,1078.9,1078.9,0.7,0.0,0.0
2016-08-29,1090.2,,,,,3.3,0.0,0.0
2016-08-30,1065.9,,,,,24.3,0.0,0.0
2016-08-31,1062.8,,,,,3.1,0.0,0.0
2016-09-01,1058.4,,,,,4.4,0.0,0.0
2016-09-02,1071.8,,,,,13.4,0.0,0.0
2016-09-06,1112.5,,,,,40.7,0.0,0.0
2016-09-07,1102.8,,,,,9.7,0.0,0.0
2016-09-08,1095.2,,,,,7.6,0.0,0.0
2016-09-09,1078.3,,,,,16.9,0.0,0.0
2016-09-12,1053.7,,,,,24.6,0.0,0.0
2016-09-13,1047.2,,,,,6.5,0.0,0.0
2016-09-14,1052.7,,,,,5.5,0.0,0.0
2016-09-15,1045.5,,,,,7.2,0.0,0.0
2016-09-16,1029.6,,,,,15.9,0.0,0.0
2016-09-19,1035.7,,,,,6.1,0.0,0.0
2016-09-20,1042.9,,,,,7.2,0.0,0.0
2016-09-21,1060.0,,,,,17.1,0.0,0.0
2016-09-22,1075.0,,,,,15.0,0.0,0.0
2016-09-23,1069.5,,,,,5.5,0.0,0.0
2016-09-26,1055.8,,,,,13.7,0.0,0.0
2016-09-27,1038.4,1055.0,1055.0,1055.0,1055.0,17.4,3.0,0.0
2016-09-28,1036.2,,,,,2.2,0.0,3.0
2016-09-29,1046.3,,,,,10.1,0.0,3.0
2016-09-30,1043.6,,,,,2.7,0.0,3.0
2016-10-03,1018.8,,,,,24.8,0.0,3.0
2016-10-04,999.9,,,,,18.9,0.0,3.0
2016-10-05,985.1,,,,,14.8,0.0,3.0
2016-10-06,975.9,,,,,9.2,0.0,3.0
2016-10-07,972.5,,,,,3.4,0.0,3.0
2016-10-10,975.4,,,,,2.9,0.0,3.0
2016-10-11,959.7,958.5,958.5,958.5,958.5,15.7,1.0,3.0
2016-10-12,951.9,,,,,7.8,0.0,4.0
2016-10-13,942.9,,,,,9.0,0.0,4.0
2016-10-14,949.5,,,,,6.6,0.0,4.0
2016-10-17,949.8,954.0,954.0,954.0,954.0,0.3,1.0,4.0
2016-10-18,960.3,,,,,10.5,0.0,4.0
2016-10-19,955.3,,,,,5.0,4.0,4.0
2016-10-20,946.9,,,,,8.4,0.0,5.0
2016-10-21,943.8,,,,,3.1,3.0,5.0
2016-10-24,950.2,,,,,6.4,0.0,8.0
2016-10-25,976.0,,,,,25.8,0.0,28.0
