,close,high,low,open,volume
2017-03-02,770.45,777.05,770.15,776.1,11
2017-03-03,768.25,770.95,762.8,762.8,6
2017-03-06,773.7,768.95,767.95,768.95,4
2017-03-07,775.55,777.0,767.3,767.3,18
2017-03-08,771.15,774.45,770.0,773.2,20
2017-03-09,748.85,757.1,752.55,755.2,9
2017-03-10,745.65,752.3,747.85,751.5,12
2017-03-13,755.3,758.0,754.3,758.0,34
2017-03-14,742.5,749.7,741.55,749.25,6
2017-03-15,746.1,767.0,744.95,745.4,6
2017-03-16,767.25,772.4,766.9,772.4,6
2017-03-17,776.4,775.2,775.2,775.2,1
2017-03-20,782.2,785.5,780.4,781.0,7
2017-03-21,788.2,793.8,787.05,788.4,7
2017-03-22,790.0,795.65,790.45,791.25,6
2017-03-23,800.7,809.25,803.0,804.05,7
2017-03-24,813.8,815.0,814.9,815.0,5
2017-03-27,794.95,805.1,794.95,805.1,10
2017-03-28,793.1,797.3,791.35,791.35,3
2017-03-29,790.65,791.55,787.4,787.85,10
2017-03-30,798.05,803.85,796.2,799.25,18
2017-03-31,798.5,800.5,800.0,800.5,2
2017-04-03,802.85,805.0,800.25,800.25,12
2017-04-04,807.15,806.85,806.85,806.85,1
2017-04-05,808.05,815.0,807.05,813.0,17
2017-04-06,804.45,804.9,799.85,799.85,3
2017-04-07,804.05,806.6,799.3,805.6,12
2017-04-10,790.35,792.6,788.35,789.15,17
2017-04-11,803.45,805.0,797.05,798.0,28
2017-04-12,796.65,798.1,789.45,790.25,22
2017-04-13,796.25,798.05,795.35,796.5,11
2017-04-17,788.9,792.25,789.1,790.95,5
2017-04-18,771.2,787.6,770.6,787.25,55
2017-04-19,775.4,775.35,772.8,773.9,26
2017-04-20,802.8,803.15,794.2,794.2,55
2017-04-21,790.65,796.5,789.7,796.3,84
2017-04-24,795.35,795.7,790.5,791.85,8
2017-04-25,796.5,798.45,795.45,797.0,57
2017-04-26,804.95,809.3,797.95,797.95,85
2017-04-27,812.85,815.7,808.75,813.25,90
2017-04-28,826.45,829.25,823.25,824.05,114
2017-05-01,814.35,822.0,813.5,822.0,39
2017-05-02,813.45,817.85,812.9,816.85,106
2017-05-03,799.05,806.5,796.05,802.2,65
2017-05-04,800.35,803.15,785.95,789.0,192
2017-05-05,812.55,813.9,805.75,805.75,151
2017-05-08,804.9,813.05,804.45,813.05,55
2017-05-09,792.85,798.7,790.7,798.7,85
2017-05-10,798.55,803.0,794.65,798.7,56
2017-05-11,797.95,803.95,795.0,797.05,87
2017-05-12,802.5,804.5,800.2,804.5,83
2017-05-15,796.05,815.45,794.0,814.95,229
2017-05-16,791.55,798.5,785.5,798.5,314
2017-05-17,776.25,787.2,775.6,786.55,232
2017-05-18,764.45,766.05,755.1,760.95,323
2017-05-19,759.8,764.7,755.0,760.8,672
2017-05-22,758.2,770.5,747.7,748.65,882
2017-05-23,771.8,774.2,766.75,773.95,696
2017-05-24,761.2,764.05,755.9,758.05,804
2017-05-25,768.5,769.9,764.25,764.55,763
2017-05-26,786.7,788.9,775.7,777.05,1850
2017-05-30,802.65,805.0,795.1,796.0,2333
