,close,high,low,open,volume
2017-03-03,270.6,272.1,269.95,272.05,58
2017-03-06,271.2,271.3,269.6,269.6,40
2017-03-07,273.0,273.3,271.25,271.55,71
2017-03-08,273.2,273.9,272.3,272.65,90
2017-03-09,272.45,273.8,272.45,273.8,127
2017-03-10,273.0,273.7,271.3,272.0,234
2017-03-13,276.15,276.8,273.55,273.55,193
2017-03-14,278.5,278.6,277.0,277.25,287
2017-03-15,279.0,279.1,278.1,278.1,141
2017-03-16,280.8,282.35,280.3,281.55,189
2017-03-17,281.9,282.4,280.45,280.8,282
2017-03-20,281.95,281.95,280.8,281.9,260
2017-03-21,284.6,285.2,282.25,282.8,274
2017-03-22,283.3,283.3,282.0,282.2,185
2017-03-23,283.75,285.0,283.5,284.05,187
2017-03-24,283.35,284.8,282.65,283.75,131
2017-03-27,281.4,282.6,281.0,281.9,260
2017-03-28,282.1,282.85,281.55,282.55,187
2017-03-29,282.75,283.25,282.0,283.25,153
2017-03-30,282.7,284.05,282.0,283.2,233
2017-03-31,282.25,283.05,281.9,282.95,124
2017-04-03,282.55,283.6,282.1,282.25,144
2017-04-04,281.95,282.8,281.3,282.15,167
2017-04-05,281.45,282.25,279.7,282.0,381
2017-04-06,280.5,280.5,279.05,280.5,485
2017-04-07,279.75,280.9,278.65,280.9,434
2017-04-10,278.35,279.6,277.65,279.6,527
2017-04-11,276.7,278.15,275.95,277.8,660
2017-04-12,277.5,277.5,276.25,276.9,369
2017-04-13,279.7,279.7,276.85,277.5,568
2017-04-14,278.4,279.0,276.75,278.9,293
2017-04-17,279.1,280.05,278.4,279.0,284
2017-04-18,279.0,280.55,278.05,280.3,293
2017-04-19,277.4,279.0,276.75,278.25,435
2017-04-20,278.8,278.8,276.5,276.95,441
2017-04-21,281.15,281.6,279.5,279.85,357
2017-04-24,282.45,283.05,281.9,282.35,335
2017-04-25,285.85,285.9,282.7,282.9,599
2017-04-26,287.05,287.9,286.5,286.5,693
2017-04-27,287.9,288.05,286.8,287.2,335
2017-04-28,288.35,289.4,287.95,288.2,776
2017-05-02,290.35,292.2,289.4,289.4,893
2017-05-04,293.45,293.45,291.35,291.35,679
2017-05-08,301.45,301.45,293.65,293.65,1214
2017-05-10,297.15,305.8,296.55,301.75,1593
2017-05-11,300.8,301.25,297.5,298.6,1361
2017-05-12,299.45,301.1,298.95,300.85,828
2017-05-15,300.45,300.95,298.6,299.8,655
2017-05-16,300.3,302.9,299.2,301.5,979
2017-05-17,300.35,300.8,299.0,299.7,665
2017-05-18,299.55,299.65,296.6,297.4,1200
2017-05-19,299.1,299.95,298.6,299.15,687
2017-05-22,301.45,301.55,299.8,301.0,882
2017-05-23,301.95,304.55,301.5,301.9,1373
2017-05-24,302.8,303.65,302.25,302.95,811
2017-05-25,306.5,306.35,303.25,304.0,1845
2017-05-26,308.3,309.5,306.05,306.55,2152
2017-05-29,307.75,310.3,306.15,309.0,3055
2017-05-30,305.35,307.95,304.1,307.8,3225
2017-05-31,306.1,307.2,304.7,304.95,3120
