Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-09-09,166.05,0.0,0.0,0.0,0.0,0.0
2016-09-12,165.7,0.0,0.0,0.0,0.0,0.0
2016-09-13,165.51,0.0,0.0,0.0,0.0,0.0
2016-09-14,165.53,0.0,0.0,0.0,0.0,0.0
2016-09-15,165.48,0.0,0.0,0.0,0.0,0.0
2016-09-16,165.46,0.0,0.0,0.0,0.0,0.0
2016-09-19,165.75,0.0,0.0,0.0,0.0,0.0
2016-09-20,165.88,0.0,0.0,0.0,0.0,0.0
2016-09-21,165.54,0.0,0.0,0.0,0.0,0.0
2016-09-22,166.92,0.0,0.0,0.0,0.0,0.0
2016-09-23,166.73,0.0,0.0,0.0,0.0,0.0
2016-09-26,167.2,163.72,163.72,163.72,1.0,0.0
2016-09-27,166.44,166.0,166.0,166.0,1.0,1.0
2016-09-28,166.61,0.0,0.0,0.0,0.0,1.0
2016-09-29,166.2,0.0,0.0,0.0,0.0,0.0
2016-09-30,166.16,0.0,0.0,0.0,0.0,0.0
2016-10-03,165.86,0.0,0.0,0.0,0.0,0.0
2016-10-04,165.76,0.0,0.0,0.0,0.0,0.0
2016-10-05,164.69,0.0,0.0,0.0,0.0,0.0
2016-10-06,164.64,0.0,0.0,0.0,0.0,0.0
2016-10-07,164.37,0.0,0.0,0.0,0.0,0.0
2016-10-10,163.88,162.5,162.5,162.5,2.0,0.0
2016-10-11,164.18,0.0,0.0,0.0,0.0,1.0
2016-10-12,163.05,0.0,0.0,0.0,0.0,1.0
2016-10-13,163.51,0.0,0.0,0.0,0.0,1.0
2016-10-14,163.21,0.0,0.0,0.0,0.0,1.0
2016-10-17,163.17,162.25,162.25,162.25,1.0,1.0
2016-10-18,163.44,163.64,163.64,163.64,1.0,2.0
2016-10-19,163.52,0.0,0.0,0.0,0.0,1.0
2016-10-20,163.99,0.0,0.0,0.0,0.0,1.0
2016-10-21,163.92,0.0,0.0,0.0,0.0,1.0
2016-10-24,163.42,164.4,164.4,164.4,1.0,1.0
2016-10-25,163.48,0.0,0.0,0.0,0.0,0.0
2016-10-26,162.5,0.0,0.0,0.0,0.0,0.0
2016-10-27,161.43,0.0,0.0,0.0,0.0,0.0
2016-10-28,161.54,0.0,0.0,0.0,0.0,0.0
2016-10-31,161.63,0.0,0.0,0.0,0.0,0.0
2016-11-01,161.3,0.0,0.0,0.0,0.0,0.0
2016-11-02,162.03,0.0,0.0,0.0,0.0,0.0
2016-11-03,161.56,0.0,0.0,0.0,0.0,0.0
2016-11-04,161.96,0.0,0.0,0.0,0.0,0.0
2016-11-07,161.75,0.0,0.0,0.0,0.0,0.0
2016-11-08,161.38,0.0,0.0,0.0,0.0,0.0
2016-11-09,161.47,0.0,0.0,0.0,0.0,0.0
2016-11-10,160.1,0.0,0.0,0.0,0.0,0.0
2016-11-11,159.73,160.24,160.24,160.24,1.0,0.0
2016-11-14,159.22,159.33,159.33,159.33,1.0,1.0
2016-11-15,159.73,160.3,160.3,160.3,1.0,2.0
2016-11-16,159.47,0.0,0.0,0.0,0.0,3.0
2016-11-17,159.92,159.49,159.8,159.49,8.0,3.0
2016-11-18,159.88,159.45,159.88,159.35,4.0,8.0
2016-11-21,159.9,0.0,0.0,0.0,0.0,9.0
2016-11-22,160.5,159.96,159.96,159.96,1.0,8.0
2016-11-23,159.9,160.03,160.05,159.32,6.0,10.0
2016-11-24,160.1,0.0,0.0,0.0,0.0,8.0
2016-11-25,160.5,0.0,0.0,0.0,0.0,8.0
2016-11-28,160.8,0.0,0.0,0.0,0.0,8.0
2016-11-29,160.5,160.75,160.75,160.75,1.0,9.0
2016-11-30,160.06,0.0,0.0,0.0,0.0,8.0
2016-12-01,159.26,158.5,158.5,158.5,1.0,8.0
2016-12-02,160.0,0.0,0.0,0.0,0.0,8.0
2016-12-05,159.45,0.0,0.0,0.0,0.0,8.0
2016-12-06,159.05,0.0,0.0,0.0,0.0,8.0
2016-12-07,159.32,158.32,159.89,158.31,10.0,16.0
2016-12-08,158.09,159.0,159.0,157.28,11.0,22.0
2016-12-09,158.83,158.05,159.24,158.05,31.0,36.0
2016-12-12,157.97,158.11,158.11,157.82,18.0,48.0
2016-12-13,158.54,158.48,158.49,158.45,3.0,40.0
2016-12-14,159.29,158.81,159.37,158.81,228.0,155.0
2016-12-15,158.42,158.42,158.42,158.25,6.0,150.0
2016-12-16,159.03,159.15,159.15,159.13,4.0,148.0
2016-12-19,159.97,158.96,160.3,158.95,27.0,160.0
2016-12-20,159.86,159.87,160.09,159.7,14.0,161.0
2016-12-21,160.09,159.99,160.15,159.94,22.0,165.0
2016-12-22,159.99,159.95,159.99,159.71,129.0,283.0
2016-12-23,160.48,160.24,160.44,160.24,5.0,246.0
2016-12-27,160.98,160.57,160.99,160.57,8.0,252.0
2016-12-28,160.88,161.13,161.14,160.94,36.0,284.0
2016-12-29,161.4,161.18,161.31,161.13,21.0,0.0
2016-12-30,160.96,161.16,161.21,160.95,97.0,346.0
2017-01-02,161.25,161.22,161.67,161.22,31.0,363.0
2017-01-03,159.96,161.25,161.25,159.77,952.0,1277.0
2017-01-04,159.96,160.13,160.36,160.03,831.0,2093.0
2017-01-05,160.29,160.22,160.26,159.6,967.0,3052.0
2017-01-06,159.62,160.06,160.32,159.5,400.0,3432.0
2017-01-09,159.76,159.89,160.08,159.85,324.0,3747.0
2017-01-10,159.93,159.85,160.09,159.81,630.0,4345.0
2017-01-11,160.31,160.1,160.78,159.95,1371.0,5629.0
2017-01-12,160.74,160.84,160.84,160.42,1086.0,6677.0
2017-01-13,160.27,160.46,160.75,160.08,4487.0,11148.0
2017-01-16,160.43,160.71,160.71,160.3,829.0,11719.0
2017-01-17,160.73,160.73,161.25,160.57,877.0,12484.0
2017-01-18,160.27,160.55,160.58,159.92,8291.0,19692.0
