,close,high,low,open,volume
2016-12-02,97.975,99.025,97.225,98.775,675
2016-12-05,98.05,98.4,97.475,97.875,353
2016-12-06,99.2,99.5,97.6,98.1,411
2016-12-07,99.425,99.45,98.15,98.875,175
2016-12-08,98.575,99.275,98.1,98.85,269
2016-12-09,98.35,98.475,97.475,98.025,197
2016-12-12,99.25,99.55,98.025,98.375,667
2016-12-13,99.75,99.85,99.0,99.0,985
2016-12-14,99.15,99.85,98.75,99.5,701
2016-12-15,99.375,99.5,98.4,98.875,452
2016-12-16,99.625,99.9,99.25,99.375,614
2016-12-19,99.65,99.75,99.075,99.075,598
2016-12-20,99.6,99.75,98.925,99.525,617
2016-12-21,99.95,99.975,99.275,99.35,483
2016-12-22,100.225,100.325,99.675,99.775,675
2016-12-23,100.15,100.225,99.125,100.0,467
2016-12-27,100.075,100.275,99.6,99.9,169
2016-12-28,100.3,100.4,99.9,100.225,311
2016-12-29,100.475,100.5,99.8,100.3,397
2016-12-30,100.425,100.75,99.4,100.45,1100
2017-01-03,99.95,100.7,99.575,100.525,1044
2017-01-04,99.85,100.1,99.475,99.875,365
2017-01-05,99.975,100.325,99.75,100.175,401
2017-01-06,100.1,100.125,99.425,99.425,348
2017-01-09,101.05,101.3,99.45,100.0,1147
2017-01-10,103.15,103.5,100.925,101.0,1717
2017-01-11,102.9,103.125,102.1,102.5,1112
2017-01-12,102.175,102.3,100.575,102.05,1343
2017-01-13,103.325,103.475,101.575,102.1,1066
2017-01-17,103.725,103.825,103.15,103.325,1430
2017-01-18,103.775,103.875,103.25,103.375,1132
2017-01-19,104.125,104.475,103.425,103.425,1485
2017-01-20,104.05,104.225,103.0,104.075,1059
2017-01-23,103.725,104.125,103.475,103.675,741
2017-01-24,103.75,104.175,103.025,103.6,1061
2017-01-25,103.575,103.925,103.2,103.45,964
2017-01-26,102.5,103.5,102.025,103.4,1152
2017-01-27,102.05,102.225,101.575,102.075,982
2017-01-30,100.0,100.55,99.7,100.1,1121
2017-01-31,99.7,100.35,99.55,100.175,1056
2017-02-01,99.95,100.05,99.125,99.425,1285
2017-02-02,101.175,101.25,100.125,100.15,782
2017-02-03,101.325,101.65,100.85,101.25,746
2017-02-06,101.4,101.675,100.75,101.3,1115
2017-02-07,102.35,102.4,101.225,101.575,1649
2017-02-08,101.65,102.25,101.425,101.95,1508
2017-02-09,102.125,102.2,101.15,101.8,1355
2017-02-10,101.5,102.6,101.2,102.05,1223
2017-02-13,100.4,101.275,100.2,101.25,1448
2017-02-14,100.9,100.95,99.8,100.325,991
2017-02-15,100.875,101.325,100.375,100.875,1002
2017-02-16,100.75,100.875,100.075,100.475,810
2017-02-17,101.4,101.425,100.4,100.575,750
2017-02-21,101.95,102.025,101.5,101.65,877
2017-02-22,102.525,102.75,101.475,102.0,1787
2017-02-23,102.7,102.975,102.5,102.5,1387
2017-02-24,100.65,102.525,100.525,102.425,1704
2017-02-27,101.4,101.9,101.075,101.275,1518
2017-02-28,102.325,102.65,101.225,101.5,2360
2017-03-01,102.875,103.1,102.325,102.325,3140
