Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-02-27,139.0,,,,,,0.0,0.0
2015-03-02,139.275,,,,,0.275,0.0,0.0
2015-03-03,138.5,,,,,0.775,0.0,0.0
2015-03-04,140.0,,,,,1.5,0.0,0.0
2015-03-05,138.5,,,138.5,138.5,1.5,0.0,0.0
2015-03-06,138.5,,,,,,0.0,0.0
2015-03-09,138.5,,,,,,0.0,0.0
2015-03-10,137.525,,,,,0.975,0.0,0.0
2015-03-11,138.225,,,,,0.7,0.0,0.0
2015-03-12,138.175,,,,,0.05,0.0,0.0
2015-03-13,137.725,,,,,0.45,0.0,0.0
2015-03-16,138.15,,138.15,,,0.425,0.0,0.0
2015-03-17,138.0,138.0,138.0,138.0,,0.15,5.0,0.0
2015-03-18,139.0,138.5,139.0,138.5,138.5,1.0,52.0,5.0
2015-03-19,139.0,139.0,139.0,139.0,,,10.0,57.0
2015-03-20,139.15,139.0,139.0,139.0,,0.15,1.0,67.0
2015-03-23,139.75,139.0,139.75,139.0,139.75,0.6,17.0,68.0
2015-03-24,140.0,139.95,140.0,139.95,139.95,0.25,5.0,80.0
2015-03-25,140.45,,140.45,,140.35,0.45,0.0,85.0
2015-03-26,140.45,140.45,140.45,140.3,,,2.0,85.0
2015-03-27,141.0,140.25,141.0,140.25,140.5,0.55,13.0,87.0
2015-03-30,140.75,,,140.75,140.75,0.25,0.0,100.0
2015-03-31,141.15,140.75,141.15,140.75,141.15,0.4,8.0,100.0
2015-04-01,141.35,140.75,142.0,140.75,141.25,0.2,20.0,102.0
2015-04-02,142.0,142.0,142.0,142.0,,0.65,1.0,120.0
2015-04-06,142.0,142.0,142.0,141.975,,,5.0,121.0
2015-04-07,142.0,141.0,142.0,141.0,141.5,,2.0,126.0
2015-04-08,141.45,141.3,141.45,140.025,141.7,0.55,15.0,126.0
2015-04-09,140.75,140.7,141.0,140.7,140.75,0.7,9.0,131.0
2015-04-10,141.0,141.0,141.0,141.0,,0.25,2.0,139.0
2015-04-13,139.5,139.0,139.5,138.45,139.5,1.5,2.0,139.0
2015-04-14,139.775,,,,,0.275,0.0,141.0
2015-04-15,141.7,141.0,141.7,141.0,140.75,1.925,8.0,141.0
2015-04-16,141.7,,,,,,0.0,148.0
2015-04-17,141.0,141.7,141.7,141.0,141.5,0.7,7.0,148.0
2015-04-20,138.0,138.425,138.45,138.0,138.0,3.0,5.0,153.0
2015-04-21,139.0,138.25,139.0,138.25,138.4,1.0,7.0,153.0
2015-04-22,138.65,,,138.75,138.75,0.35,0.0,154.0
2015-04-23,140.0,139.125,140.0,139.125,139.5,1.35,8.0,154.0
2015-04-24,141.95,139.625,141.95,139.525,,1.95,10.0,156.0
2015-04-27,141.2,141.1,141.2,141.1,,0.75,5.0,163.0
2015-04-28,141.25,141.5,141.5,141.25,,0.05,21.0,165.0
2015-04-29,141.5,141.5,141.5,141.2,141.5,0.25,5.0,184.0
2015-04-30,141.5,141.5,141.6,140.5,141.6,,29.0,189.0
2015-05-01,141.05,141.5,141.5,141.0,141.0,0.45,21.0,197.0
2015-05-04,142.0,141.95,142.0,141.4,141.95,0.95,58.0,215.0
2015-05-05,142.25,142.0,142.575,141.8,142.25,0.25,52.0,272.0
2015-05-06,142.4,142.025,142.4,141.8,141.9,0.15,45.0,303.0
2015-05-07,142.15,142.3,142.4,142.15,142.15,0.25,22.0,327.0
2015-05-08,143.0,142.4,143.25,142.4,143.0,0.85,54.0,331.0
2015-05-11,142.3,143.45,143.5,142.0,142.75,0.7,63.0,343.0
2015-05-12,142.25,141.9,142.3,141.35,142.3,0.05,32.0,376.0
2015-05-13,143.25,143.0,143.5,143.0,143.0,1.0,42.0,399.0
2015-05-14,143.8,143.75,143.9,143.675,143.8,0.55,81.0,430.0
2015-05-15,143.0,143.3,143.65,142.475,143.0,0.8,28.0,459.0
2015-05-18,142.675,142.175,142.75,142.175,142.85,0.325,24.0,465.0
2015-05-19,143.5,142.8,143.5,142.6,143.5,0.825,21.0,472.0
2015-05-20,143.2,143.0,144.0,142.725,143.275,0.3,19.0,477.0
2015-05-21,143.8,144.0,144.075,143.8,143.9,0.6,18.0,485.0
2015-05-22,144.0,143.15,144.2,143.15,144.2,0.2,24.0,493.0
2015-05-26,144.4,144.25,144.4,143.975,144.4,0.4,25.0,513.0
2015-05-27,144.75,144.4,144.8,143.85,144.8,0.35,22.0,521.0
2015-05-28,144.875,144.75,145.4,144.675,145.25,0.125,67.0,531.0
2015-05-29,144.9,145.2,145.2,144.3,144.9,0.025,36.0,551.0
2015-06-01,145.75,144.85,145.8,144.85,145.8,0.85,24.0,558.0
2015-06-02,145.0,145.325,145.325,144.775,145.0,0.75,106.0,561.0
2015-06-03,143.925,144.475,144.5,143.925,144.1,1.075,48.0,624.0
2015-06-04,144.25,144.05,144.5,143.9,144.25,0.325,67.0,632.0
2015-06-05,143.7,144.575,144.625,143.55,143.7,0.55,17.0,638.0
2015-06-08,144.175,143.75,144.2,143.7,144.2,0.475,103.0,649.0
2015-06-09,144.35,144.025,144.5,143.725,144.3,0.175,53.0,709.0
2015-06-10,144.575,144.475,144.875,144.45,144.575,0.225,52.0,729.0
2015-06-11,144.1,144.925,144.925,144.0,144.4,0.475,29.0,728.0
2015-06-12,142.6,143.375,143.375,142.3,142.75,1.5,57.0,745.0
2015-06-15,142.8,142.575,143.15,142.425,142.7,0.2,89.0,757.0
2015-06-16,143.15,142.8,143.15,142.75,,0.35,27.0,770.0
2015-06-17,143.025,142.9,143.1,142.575,143.1,0.125,37.0,774.0
2015-06-18,142.675,142.75,142.975,142.475,142.8,0.35,34.0,776.0
2015-06-19,143.3,142.55,143.35,142.55,143.3,0.625,32.0,787.0
2015-06-22,145.0,143.4,145.0,143.225,144.9,1.7,53.0,777.0
2015-06-23,145.0,145.125,145.125,144.675,144.85,,35.0,794.0
2015-06-24,144.0,145.0,145.0,144.0,144.3,1.0,87.0,818.0
2015-06-25,142.75,143.975,143.975,142.35,142.7,1.25,107.0,811.0
2015-06-26,142.8,142.35,143.4,142.35,143.0,0.05,21.0,821.0
2015-06-29,143.2,142.275,143.425,142.1,143.1,0.4,46.0,820.0
2015-06-30,142.5,143.0,143.0,141.925,142.5,0.7,59.0,823.0
2015-07-01,144.3,142.75,144.45,142.675,144.0,1.8,66.0,830.0
2015-07-02,144.5,144.3,144.5,144.05,144.4,0.2,48.0,835.0
2015-07-06,144.375,144.0,144.4,143.7,144.4,0.125,34.0,852.0
2015-07-07,144.8,143.8,144.925,143.8,144.675,0.425,92.0,866.0
2015-07-08,143.55,144.9,145.0,142.725,143.075,1.25,99.0,872.0
2015-07-09,142.75,142.9,144.0,142.15,142.675,0.8,63.0,854.0
2015-07-10,142.275,142.275,142.875,141.975,142.2,0.475,101.0,875.0
2015-07-13,142.025,142.2,142.5,141.825,142.3,0.25,31.0,875.0
2015-07-14,143.175,141.9,143.375,141.75,143.075,1.15,33.0,882.0
2015-07-15,142.95,142.725,143.2,142.6,142.875,0.225,61.0,885.0
2015-07-16,142.325,142.475,142.475,141.975,141.975,0.625,30.0,883.0
2015-07-17,142.275,141.9,143.25,141.875,142.3,0.05,66.0,899.0
2015-07-20,142.125,142.3,142.525,141.975,141.975,0.15,178.0,927.0
2015-07-21,140.85,141.675,141.675,140.475,140.475,1.275,142.0,985.0
2015-07-22,139.9,140.35,141.0,139.55,139.55,0.95,123.0,957.0
2015-07-23,138.225,139.475,140.0,138.075,138.225,1.675,76.0,963.0
2015-07-24,137.85,138.1,138.5,137.375,137.475,0.375,141.0,960.0
2015-07-27,136.725,137.375,137.375,136.5,136.5,1.125,49.0,982.0
2015-07-28,138.375,137.0,138.5,136.975,138.4,1.65,157.0,1001.0
2015-07-29,138.5,138.375,139.0,138.025,138.25,0.125,130.0,1012.0
2015-07-30,138.825,138.5,139.0,138.475,138.725,0.325,181.0,984.0
2015-07-31,138.275,138.975,139.25,137.975,138.1,0.55,98.0,1037.0
2015-08-03,139.175,138.55,139.75,138.55,139.175,0.9,165.0,1021.0
2015-08-04,139.175,139.5,139.5,138.6,138.85,,108.0,1025.0
2015-08-05,139.0,138.825,139.0,138.525,138.775,0.175,57.0,1051.0
2015-08-06,139.025,138.85,139.5,138.675,138.875,0.025,60.0,1049.0
2015-08-07,138.8,138.725,139.175,138.55,138.825,0.225,30.0,1054.0
2015-08-10,139.35,139.0,139.75,139.0,139.275,0.55,84.0,1063.0
2015-08-11,139.0,139.475,139.6,138.8,138.8,0.35,229.0,1063.0
2015-08-12,137.75,138.75,139.15,137.225,137.775,1.25,169.0,1216.0
2015-08-13,138.0,138.0,138.0,136.85,138.0,0.25,96.0,1225.0
2015-08-14,137.825,137.975,138.05,136.975,137.75,0.175,65.0,1256.0
2015-08-17,137.725,137.475,137.75,136.7,137.725,0.1,105.0,1254.0
2015-08-18,138.175,137.475,138.175,137.475,138.075,0.45,83.0,1294.0
2015-08-19,136.8,137.725,137.725,136.475,136.475,1.375,102.0,1298.0
2015-08-20,137.25,136.7,137.25,136.375,136.725,0.45,112.0,1299.0
2015-08-21,134.75,136.6,136.775,134.4,134.575,2.5,238.0,1328.0
2015-08-24,133.1,132.55,133.525,132.35,132.725,1.65,207.0,1348.0
2015-08-25,133.125,133.0,134.325,132.85,132.85,0.025,115.0,1352.0
2015-08-26,132.475,132.725,133.5,131.8,133.475,0.65,543.0,1332.0
2015-08-27,134.35,133.55,134.4,133.5,133.825,1.875,292.0,1217.0
2015-08-28,134.95,134.2,135.125,134.075,134.925,0.6,155.0,1248.0
2015-08-31,133.775,134.725,135.1,133.475,133.475,1.175,182.0,1267.0
2015-09-01,131.85,133.225,133.25,131.425,131.425,1.925,179.0,1331.0
2015-09-02,132.225,131.75,132.675,131.15,131.975,0.375,117.0,1375.0
2015-09-03,132.6,132.225,132.925,132.225,132.225,0.375,186.0,1354.0
2015-09-04,131.725,132.1,132.3,131.425,131.8,0.875,190.0,1366.0
2015-09-08,134.05,132.0,134.25,131.975,134.075,2.325,228.0,1388.0
2015-09-09,134.475,134.35,134.75,134.125,134.2,0.425,651.0,1410.0
2015-09-10,134.25,134.125,134.75,133.975,133.975,0.225,716.0,1547.0
2015-09-11,132.475,134.0,134.0,132.175,132.725,1.775,566.0,1727.0
2015-09-14,133.075,132.425,133.2,132.2,132.725,0.6,162.0,1903.0
2015-09-15,132.15,133.0,133.55,131.8,131.9,0.925,329.0,1918.0
2015-09-16,129.4,131.725,131.725,129.35,129.375,2.75,198.0,1996.0
2015-09-17,129.475,128.95,130.0,128.875,130.0,0.075,390.0,2025.0
2015-09-18,127.975,129.725,129.725,127.675,128.125,1.5,405.0,2117.0
2015-09-21,128.475,128.5,129.25,128.225,128.225,0.5,437.0,2218.0
2015-09-22,127.45,127.975,128.875,127.1,127.1,1.025,290.0,2437.0
2015-09-23,124.475,127.0,127.075,124.45,124.45,2.975,767.0,2555.0
2015-09-24,122.725,123.175,125.725,121.175,124.05,1.75,905.0,2652.0
2015-09-25,125.725,124.625,125.725,123.325,125.725,3.0,989.0,2857.0
2015-09-28,125.875,126.05,126.85,125.15,125.875,0.15,949.0,2890.0
2015-09-29,122.95,125.1,125.1,122.875,122.875,2.925,392.0,2945.0
2015-09-30,121.95,122.65,124.25,121.3,122.05,1.0,964.0,2979.0
2015-10-01,122.575,122.35,123.3,121.325,121.725,0.625,1372.0,3003.0
2015-10-02,123.525,121.75,123.85,121.75,123.475,0.95,471.0,2943.0
2015-10-05,123.0,123.25,124.1,122.0,122.0,0.525,353.0,2951.0
2015-10-06,125.425,122.575,126.0,122.275,125.5,2.425,918.0,3032.0
2015-10-07,127.25,125.925,128.0,125.85,126.9,1.825,1357.0,3043.0
2015-10-08,128.5,126.575,128.75,126.3,127.825,1.25,617.0,3272.0
2015-10-09,128.825,127.825,128.85,127.125,128.775,0.325,395.0,3425.0
2015-10-12,129.0,129.0,129.5,128.4,129.0,0.175,333.0,3463.0
2015-10-13,128.525,128.975,129.3,127.975,128.65,0.475,653.0,3579.0
2015-10-14,128.0,128.575,129.4,127.7,128.05,0.525,582.0,3825.0
2015-10-15,126.725,127.825,128.1,126.3,126.525,1.275,577.0,3958.0
2015-10-16,128.975,126.65,129.6,126.1,129.25,2.25,811.0,4005.0
2015-10-19,130.1,129.925,130.575,129.7,130.025,1.125,855.0,4116.0
2015-10-20,130.575,129.9,130.925,129.45,130.65,0.475,794.0,4027.0
2015-10-21,131.025,130.325,131.025,130.225,131.0,0.45,949.0,4225.0
2015-10-22,132.0,130.675,132.175,130.6,131.325,0.975,822.0,4512.0
2015-10-23,131.8,131.625,132.0,130.25,131.3,0.2,961.0,4672.0
2015-10-26,131.025,130.5,131.1,130.0,130.675,0.775,414.0,4897.0
2015-10-27,129.675,130.3,131.175,129.425,131.125,1.35,535.0,5028.0
2015-10-28,132.1,131.0,132.65,130.775,131.5,2.425,816.0,5061.0
2015-10-29,131.25,131.875,132.175,130.125,131.05,0.85,971.0,5094.0
2015-10-30,130.175,130.6,130.875,129.925,130.275,1.075,549.0,5256.0
2015-11-02,129.95,129.775,130.175,129.025,129.925,0.225,736.0,5349.0
2015-11-03,129.25,129.95,130.15,128.95,129.025,0.7,824.0,5452.0
2015-11-04,126.7,128.8,128.8,126.25,126.4,2.55,3791.0,5555.0
2015-11-05,125.125,126.65,126.725,124.0,125.075,1.575,1264.0,5438.0
2015-11-06,125.6,124.475,126.35,124.1,125.475,0.475,1530.0,5643.0
2015-11-09,122.6,125.1,125.275,122.6,122.6,3.0,973.0,6079.0
2015-11-10,120.125,121.425,123.4,118.15,120.8,2.475,3783.0,6006.0
2015-11-11,122.425,121.05,123.125,121.05,122.15,2.3,2310.0,6487.0
2015-11-12,123.15,121.825,124.5,121.25,122.675,0.725,1967.0,6609.0
2015-11-13,121.35,122.525,123.4,120.75,120.975,1.8,1460.0,6941.0
2015-11-16,118.725,119.975,119.975,118.35,118.725,2.625,2446.0,7057.0
2015-11-17,120.35,118.3,121.4,117.3,120.25,1.625,1300.0,7298.0
2015-11-18,122.5,120.0,123.075,120.0,121.5,2.15,1931.0,7455.0
2015-11-19,121.7,122.0,122.6,121.025,121.3,0.8,1274.0,7576.0
2015-11-20,122.075,121.075,122.45,120.875,121.55,0.375,1968.0,7712.0
2015-11-23,123.25,121.3,123.7,120.925,122.025,1.175,1687.0,8246.0
2015-11-24,122.075,122.5,123.5,121.025,121.675,1.175,1043.0,8462.0
2015-11-25,122.9,122.35,123.05,122.075,122.575,0.825,1177.0,8676.0
2015-11-27,122.975,122.9,123.45,122.275,123.0,0.075,660.0,9149.0
2015-11-30,121.575,122.5,123.45,121.0,121.0,1.4,1293.0,9246.0
2015-12-01,123.025,121.025,123.3,119.825,122.95,1.45,2249.0,9498.0
2015-12-02,120.95,122.75,122.75,120.325,120.35,2.075,1571.0,9272.0
2015-12-03,119.95,119.95,120.8,118.5,120.0,1.0,2797.0,9407.0
2015-12-04,119.85,120.2,120.725,119.325,119.35,0.1,1537.0,9490.0
2015-12-07,118.55,118.725,119.275,117.3,117.9,1.3,3264.0,10003.0
2015-12-08,117.55,118.05,119.075,116.05,116.5,1.0,3127.0,10799.0
2015-12-09,115.625,116.6,117.275,114.55,114.7,1.925,2974.0,11243.0
2015-12-10,116.6,115.175,117.225,113.875,116.125,0.975,4865.0,11855.0
2015-12-11,116.225,116.3,116.925,114.85,116.0,0.375,2238.0,11807.0
2015-12-14,114.25,115.825,116.2,113.3,113.4,1.975,2623.0,12229.0
2015-12-15,114.875,114.0,115.95,113.35,114.375,0.625,2129.0,12305.0
2015-12-16,114.975,114.825,115.075,113.975,114.475,0.1,1469.0,12713.0
2015-12-17,113.8,114.0,114.975,112.8,114.75,1.175,4987.0,13270.0
2015-12-18,116.8,115.175,116.8,115.025,116.8,3.0,2568.0,14609.0
2015-12-21,119.75,118.95,120.75,118.5,118.65,2.95,4049.0,14613.0
2015-12-22,120.125,118.85,120.55,118.675,120.05,0.375,5719.0,14748.0
2015-12-23,121.75,120.5,121.975,120.15,121.85,1.625,4585.0,15471.0
2015-12-24,122.875,121.65,123.0,121.025,122.55,1.125,3016.0,16267.0
2015-12-28,122.425,122.65,122.85,121.725,122.2,0.45,2673.0,17045.0
2015-12-29,122.625,122.375,122.75,121.725,122.5,0.2,2264.0,17612.0
2015-12-30,123.55,122.625,124.075,122.6,123.75,0.925,2143.0,17987.0
2015-12-31,123.675,123.0,123.9,123.0,123.275,0.125,1438.0,18405.0
2016-01-04,123.725,123.0,124.65,121.975,124.075,0.05,2748.0,18601.0
2016-01-05,123.75,123.875,124.6,123.2,123.475,0.025,1910.0,18625.0
2016-01-06,124.275,123.225,124.35,122.375,123.725,0.525,3022.0,19017.0
2016-01-07,121.275,122.975,123.45,121.275,121.275,3.0,3279.0,19736.0
