Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2016-03-29,575.5,,,,,0.0,0.0,0.0
2016-03-30,568.85,,,,,6.65,0.0,0.0
2016-03-31,566.6,,,,,2.25,0.0,0.0
2016-04-01,563.6,,,,,3.0,0.0,0.0
2016-04-04,555.25,,,,,8.35,0.0,0.0
2016-04-05,546.5,,,,,8.75,0.0,0.0
2016-04-06,540.75,,,,,5.75,0.0,0.0
2016-04-07,538.45,,541.0,,541.0,2.3,0.0,0.0
2016-04-08,543.05,,,,,4.6,0.0,0.0
2016-04-11,549.9,,,,,6.85,0.0,0.0
2016-04-12,548.5,,,,,1.4,0.0,0.0
2016-04-13,546.95,,,,,1.55,0.0,0.0
2016-04-14,564.8,,,,,17.85,0.0,0.0
2016-04-15,572.15,,,,,7.35,0.0,0.0
2016-04-18,572.0,,,,,0.15,0.0,0.0
2016-04-19,586.25,,,,,14.25,0.0,0.0
2016-04-20,601.1,,,,,14.85,0.0,0.0
2016-04-21,614.3,,,,,13.2,0.0,0.0
2016-04-22,610.6,,,,,3.7,0.0,0.0
2016-04-25,610.05,,,,,0.55,0.0,0.0
2016-04-26,609.1,,,,,0.95,0.0,0.0
2016-04-27,614.25,,,,,5.15,0.0,0.0
2016-04-28,629.15,,,,,14.9,0.0,0.0
2016-04-29,632.2,,,,,3.05,0.0,0.0
2016-05-02,629.35,,,,,2.85,0.0,0.0
2016-05-03,613.45,,,,,15.9,0.0,0.0
2016-05-04,600.9,,,,,12.55,0.0,0.0
2016-05-05,605.15,,,,,4.25,0.0,0.0
2016-05-06,611.75,,,,,6.6,0.0,0.0
2016-05-09,588.5,,,,,23.25,0.0,0.0
2016-05-10,596.65,,,,,8.15,0.0,0.0
2016-05-11,612.3,,,,,15.65,0.0,0.0
2016-05-12,600.9,,,,,11.4,0.0,0.0
2016-05-13,596.65,,,,,4.25,0.0,0.0
2016-05-16,595.65,,,,,1.0,0.0,0.0
2016-05-17,589.35,,,,,6.3,0.0,0.0
2016-05-18,584.4,,,,,4.95,0.0,0.0
2016-05-19,562.9,,,,,21.5,0.0,0.0
2016-05-20,563.65,,,,,0.75,0.0,0.0
2016-05-23,554.95,,,,,8.7,0.0,0.0
2016-05-24,542.35,,,,,12.6,0.0,0.0
2016-05-25,534.25,,,,,8.1,0.0,0.0
2016-05-26,547.05,,,,,12.8,0.0,0.0
2016-05-27,542.4,,,,,4.65,0.0,0.0
2016-05-31,550.65,,,,,8.25,0.0,0.0
2016-06-01,550.25,,,,,0.4,0.0,0.0
2016-06-02,537.85,,,,,12.4,0.0,0.0
2016-06-03,552.65,,,,,14.8,0.0,0.0
2016-06-06,559.95,,,,,7.3,0.0,0.0
2016-06-07,555.25,,,,,4.7,0.0,0.0
2016-06-08,564.35,,,,,9.1,0.0,0.0
2016-06-09,563.7,,,,,0.65,0.0,0.0
2016-06-10,549.2,,,,,14.5,0.0,0.0
2016-06-13,548.95,,,,,0.25,0.0,0.0
2016-06-14,538.6,,,,,10.35,0.0,0.0
2016-06-15,535.45,,,,,3.15,0.0,0.0
2016-06-16,538.05,,,,,2.6,0.0,0.0
2016-06-17,532.6,,,,,5.45,0.0,0.0
2016-06-20,551.2,,,,,18.6,0.0,0.0
2016-06-21,554.3,,,,,3.1,0.0,0.0
2016-06-22,565.2,,,,,10.9,0.0,0.0
2016-06-23,568.8,,,,,3.6,0.0,0.0
2016-06-24,549.3,,,,,19.5,0.0,0.0
