Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-09-22,24.65,24.8,24.8,24.75,200.0,0.0
2016-09-23,24.8,24.75,24.85,24.7,655.0,200.0
2016-09-26,25.05,24.95,24.95,24.95,200.0,823.0
2016-09-27,25.1,25.1,25.15,25.05,2748.0,821.0
2016-09-28,24.9,24.85,24.85,24.85,545.0,2869.0
2016-09-29,24.75,24.7,24.9,24.7,1068.0,2914.0
2016-09-30,24.55,25.05,25.05,24.7,252.0,3978.0
2016-10-03,24.65,24.6,24.7,24.55,250.0,4091.0
2016-10-04,24.45,24.55,24.55,24.35,228.0,4341.0
2016-10-05,24.5,24.55,24.55,24.35,2533.0,4564.0
2016-10-06,24.55,24.5,24.55,24.5,600.0,6637.0
2016-10-07,24.65,24.55,24.7,24.55,426.0,7236.0
2016-10-10,24.6,24.55,24.65,24.55,229.0,7371.0
2016-10-11,24.6,24.55,24.65,24.45,1257.0,7427.0
2016-10-12,24.65,24.65,24.7,24.6,259.0,8272.0
2016-10-13,25.0,24.9,25.05,24.9,118.0,8003.0
2016-10-14,24.75,24.75,24.75,24.75,400.0,8112.0
2016-10-17,24.7,24.7,24.75,24.7,600.0,8384.0
2016-10-18,24.65,24.55,24.6,24.55,339.0,8894.0
2016-10-19,24.55,24.55,24.55,24.5,1681.0,8914.0
2016-10-20,24.55,24.5,24.55,24.45,1012.0,10366.0
2016-10-21,24.55,24.5,24.55,24.45,588.0,11348.0
2016-10-24,24.4,24.4,24.45,24.4,413.0,11797.0
2016-10-25,24.55,24.4,24.55,24.35,623.0,12135.0
2016-10-26,24.5,24.55,24.65,24.4,286.0,12440.0
2016-10-27,24.5,0.0,0.0,0.0,1.0,12696.0
2016-10-28,24.7,24.7,24.7,24.7,90.0,12666.0
2016-10-31,24.8,0.0,0.0,0.0,30.0,12735.0
2016-11-01,25.1,24.8,25.2,24.7,253.0,12675.0
2016-11-02,25.15,25.1,25.3,25.1,108.0,12828.0
2016-11-03,25.15,25.2,25.35,25.15,1139.0,12823.0
2016-11-04,25.05,25.45,25.45,25.0,360.0,12880.0
2016-11-07,24.45,24.55,24.55,24.4,3444.0,13010.0
2016-11-08,24.4,24.3,24.5,24.3,1830.0,14611.0
