Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2017-01-03,117.15625,,,,,0.1640625,0.0,0.0
2017-01-04,117.140625,,,,,0.015625,0.0,0.0
2017-01-05,117.5703125,,,,,0.4296875,0.0,0.0
2017-01-06,117.265625,,,,,0.3046875,0.0,0.0
2017-01-09,117.484375,,,,,0.21875,0.0,0.0
2017-01-10,117.484375,,,,,,0.0,0.0
2017-01-11,117.4921875,,,,,0.0078125,0.0,0.0
2017-01-12,117.546875,,,,,0.0546875,0.0,0.0
2017-01-13,117.4765625,,,,,0.0703125,0.0,0.0
2017-01-17,117.8046875,,,,,0.328125,0.0,0.0
2017-01-18,117.484375,,,,,0.3203125,0.0,0.0
2017-01-19,117.15625,,,,,0.328125,0.0,0.0
2017-01-20,117.28125,,,,,0.125,0.0,0.0
2017-01-23,117.65625,,,,,0.375,0.0,0.0
2017-01-24,117.296875,,,,,0.359375,0.0,0.0
2017-01-25,117.0703125,,,,,0.2265625,0.0,0.0
2017-01-26,117.21875,,,,,0.1484375,0.0,0.0
2017-01-27,117.34375,,,,,0.125,0.0,0.0
2017-01-30,117.3671875,,,,,0.0234375,0.0,0.0
2017-01-31,117.5,,,,,0.1328125,0.0,0.0
2017-02-01,117.4140625,,,,,0.0859375,0.0,0.0
2017-02-02,117.4453125,,,,,0.03125,0.0,0.0
2017-02-03,117.390625,,,,,0.0546875,0.0,0.0
2017-02-06,117.8125,,,,,0.421875,0.0,0.0
2017-02-07,117.8515625,,,,,0.0390625,0.0,0.0
2017-02-08,118.015625,,,,,0.1640625,0.0,0.0
2017-02-09,117.734375,,,,,0.28125,0.0,0.0
2017-02-10,117.6484375,,,,,0.0859375,0.0,0.0
2017-02-13,117.53125,,,,,0.1171875,0.0,0.0
2017-02-14,117.265625,,,,,0.265625,0.0,0.0
2017-02-15,117.0546875,,,,,0.2109375,0.0,0.0
2017-02-16,117.3828125,,,,,0.328125,0.0,0.0
