Date,Settle,Open,High,Low,Last,Change,Volume,Open Interest
2015-07-29,988.4,,,,,0.0,0.0,0.0
2015-07-30,993.3,,,,,4.9,0.0,0.0
2015-07-31,988.3,,,,,5.0,0.0,0.0
2015-08-03,970.4,,,,,17.9,0.0,0.0
2015-08-04,961.9,,,,,8.5,0.0,0.0
2015-08-05,954.4,,,,,7.5,0.0,0.0
2015-08-06,959.6,,,,,5.2,0.0,0.0
2015-08-07,965.3,,,,,5.7,0.0,0.0
2015-08-10,993.0,,,,,27.7,0.0,0.0
2015-08-11,995.6,,,,,2.6,0.0,0.0
2015-08-12,1003.5,,,,,7.9,0.0,0.0
2015-08-13,998.7,,,,,4.8,0.0,0.0
2015-08-14,997.8,,,,,0.9,0.0,0.0
2015-08-17,1004.4,,,,,6.6,0.0,0.0
2015-08-18,997.8,,,,,6.6,0.0,0.0
2015-08-19,1016.5,,,,,18.7,0.0,0.0
2015-08-20,1038.5,,,,,22.0,0.0,0.0
2015-08-21,1030.7,,,1030.0,1030.0,7.8,0.0,0.0
2015-08-24,995.1,,,,,35.6,0.0,0.0
2015-08-25,980.2,,,,,14.9,0.0,0.0
2015-08-26,983.7,,,,,3.5,0.0,0.0
2015-08-27,1009.4,,,,,25.7,0.0,0.0
2015-08-28,1025.2,,,,,15.8,0.0,0.0
2015-08-31,1014.0,,,,,11.2,0.0,0.0
2015-09-01,1011.9,,,,,2.1,0.0,0.0
2015-09-02,1017.2,,,,,5.3,0.0,0.0
2015-09-03,1013.8,,,,,3.4,0.0,0.0
2015-09-04,996.3,,,,,17.5,0.0,0.0
2015-09-08,1007.2,,,,,10.9,0.0,0.0
2015-09-09,985.9,,,,,21.3,0.0,0.0
2015-09-10,985.7,,,,,0.2,0.0,0.0
2015-09-11,969.3,,,,,16.4,0.0,0.0
2015-09-14,959.6,,,,,9.7,0.0,0.0
2015-09-15,962.0,,960.5,,960.5,2.4,0.0,0.0
2015-09-16,978.9,,,,,16.9,0.0,0.0
2015-09-17,971.9,,,,,7.0,0.0,0.0
2015-09-18,988.0,,,,,16.1,0.0,0.0
2015-09-21,977.3,,,,,10.7,0.0,0.0
